InitialBasket	SecondBasket	TotalFrequency	Support	Confidence	Lift
Reggae Tchan	Podes Crer	1	0.05	100	19.84
Rehab	All Night Thing	1	0.05	100	19.84
Rehab	Branch Closing	1	0.05	100	9.92
Rehab	He Can Only Hold Her	1	0.05	100	19.84
Rehab	Meet Kevin Johnson	1	0.05	100	19.84
Rehab	Muita Bobeira	1	0.05	100	19.84
Rehab	"Piano Sonata No. 14 in C Sharp Minor, Op. 27, No. 2, ""Moonlight"": I. Adagio sostenuto"	1	0.05	100	19.84
Rehab (Hot Chip Remix)	I Heard Love Is Blind	1	0.05	100	19.84
Rehab (Hot Chip Remix)	Just Friends	1	0.05	100	19.84
Rehab (Hot Chip Remix)	Peer Gynt Suite No.1, Op.46: 1. Morning Mood	1	0.05	100	19.84
Release	Army Ants	1	0.05	50	9.92
Release	As Tears Go By	1	0.05	50	9.92
Release	Every Breath You Take	1	0.05	50	9.92
Release	Lil' Evil	1	0.05	50	9.92
Release	Love	1	0.05	50	9.92
Release	Mean Disposition	1	0.05	50	9.92
Release	Moon Is Up	1	0.05	50	9.92
Release	Nico	1	0.05	50	9.92
Release	Psychopomp	1	0.05	50	9.92
Relvelation (Mother Earth)	Blue Train	1	0.05	100	19.84
Relvelation (Mother Earth)	Children Of The Grave	1	0.05	100	19.84
Relvelation (Mother Earth)	Dee	1	0.05	100	19.84
Remedy	Creep	1	0.05	100	19.84
Remedy	Dark Corners	1	0.05	100	19.84
Remedy	Miracle To Me	1	0.05	100	19.84
Requiem, Op.48: 4. Pie Jesu	All Night Thing	1	0.05	100	19.84
Requiem, Op.48: 4. Pie Jesu	Branch Closing	1	0.05	100	9.92
Requiem, Op.48: 4. Pie Jesu	He Can Only Hold Her	1	0.05	100	19.84
Requiem, Op.48: 4. Pie Jesu	Meet Kevin Johnson	1	0.05	100	19.84
Requiem, Op.48: 4. Pie Jesu	Muita Bobeira	1	0.05	100	19.84
Requiem, Op.48: 4. Pie Jesu	"Piano Sonata No. 14 in C Sharp Minor, Op. 27, No. 2, ""Moonlight"": I. Adagio sostenuto"	1	0.05	100	19.84
Requiem, Op.48: 4. Pie Jesu	Rehab	1	0.05	100	19.84
Respectable	As Tears Go By	1	0.05	100	19.84
Respectable	Every Breath You Take	1	0.05	100	19.84
Respectable	Lil' Evil	1	0.05	100	19.84
Respectable	Love	1	0.05	100	19.84
Respectable	Mean Disposition	1	0.05	100	19.84
Respectable	Moon Is Up	1	0.05	100	19.84
Respectable	Nico	1	0.05	100	19.84
Respectable	Psychopomp	1	0.05	100	19.84
Respectable	Release	1	0.05	100	9.92
Restless and Wild	Balls to the Wall	1	0.05	100	19.84
Revolta Olodum	Aos Leões	1	0.05	100	19.84
Revolta Olodum	Caso Você Queira Saber	1	0.05	100	19.84
Revolta Olodum	Dance	1	0.05	100	19.84
Revolta Olodum	Demorou!	1	0.05	100	19.84
Revolta Olodum	Home Sweet Home	1	0.05	100	19.84
Revolta Olodum	In Bloom	1	0.05	100	19.84
Revolta Olodum	Intro	1	0.05	100	9.92
Revolta Olodum	Mundaréu	1	0.05	100	19.84
Revolta Olodum	Nossa Gente (Avisa Là)	1	0.05	100	19.84
Revolta Olodum	On A Plain	1	0.05	100	19.84
Rhinocerous	Disarm	1	0.05	100	19.84
Ride The Lightning	A Noite Do Meu Bem	1	0.05	100	19.84
Ride The Lightning	Blackened	1	0.05	100	19.84
Ride The Lightning	Brasil	1	0.05	100	9.92
Ride The Lightning	I Don't Wanna Be Kissed (By Anyone But You)	1	0.05	100	19.84
Ride The Lightning	My Ship	1	0.05	100	19.84
Ride The Lightning	My World	1	0.05	100	19.84
Right Now	Big Machine	1	0.05	100	19.84
Right Now	Dancing In The Street	1	0.05	100	19.84
Right Now	Eruption	2	0.1	200	19.84
Right Now	Feel Your Love Tonight	1	0.05	100	19.84
Right Now	Jump	1	0.05	100	19.84
Right Now	One I Want	1	0.05	100	19.84
Right On Time	Parallel Universe	1	0.05	100	19.84
Right On Time	Porcelain	1	0.05	100	19.84
Right Through You	Angela	1	0.05	100	19.84
Right Through You	Bleed The Freak	1	0.05	100	19.84
Right Through You	Confusion	1	0.05	100	19.84
Right Through You	Master Of Puppets	1	0.05	100	9.92
Right Through You	Not The Doctor	1	0.05	100	19.84
Right Through You	Por Causa De Você	1	0.05	100	19.84
Rime of the Ancient Mariner	Brave New World	1	0.05	100	19.84
Rime of the Ancient Mariner	Flash of The Blade	1	0.05	100	19.84
Rios Pontes & Overdrives	Carolina Hard-Core Ecstasy	1	0.05	100	19.84
Rios Pontes & Overdrives	Communication Breakdown(2)	1	0.05	100	19.84
Rios Pontes & Overdrives	Doutor	1	0.05	100	19.84
Rios Pontes & Overdrives	Interlude Zumbi	1	0.05	100	19.84
Rios Pontes & Overdrives	Ipiranga 2001	1	0.05	100	19.84
Rios Pontes & Overdrives	Podes Crer	1	0.05	100	19.84
Rios Pontes & Overdrives	Reggae Tchan	1	0.05	100	19.84
Rita Lee	'Round Midnight	1	0.05	100	19.84
Rita Lee	Beija-Flor	1	0.05	100	19.84
Rita Lee	Caprichosos	1	0.05	100	19.84
Rita Lee	Começaria Tudo Outra Vez	1	0.05	100	19.84
Rita Lee	Do You Have Other Loves?	1	0.05	100	19.84
Rita Lee	Do You Like The Way	1	0.05	100	19.84
Rita Lee	E.S.P.	1	0.05	100	19.84
Rita Lee	Manuel	1	0.05	100	19.84
Rita Lee	Menino Do Rio	1	0.05	100	19.84
River Song	Eu Apenas Queria Que Voçê Soubesse	1	0.05	100	19.84
River Song	Jaded	1	0.05	100	19.84
River Song	Não Dá Mais Pra Segurar (Explode Coração)	1	0.05	100	19.84
River Song	Playtime	1	0.05	100	19.84
Riviera Paradise	Let Me Love You Baby	1	0.05	100	9.92
Ro-Que-Se-Da-Ne	Assim Caminha A Humanidade	1	0.05	100	19.84
Ro-Que-Se-Da-Ne	Celebration Day	1	0.05	100	9.92
Ro-Que-Se-Da-Ne	Childhoods End?	1	0.05	100	19.84
Ro-Que-Se-Da-Ne	Giz	1	0.05	100	19.84
Ro-Que-Se-Da-Ne	Leila	1	0.05	100	19.84
Ro-Que-Se-Da-Ne	O Último Romântico (Ao Vivo)	1	0.05	100	19.84
Ro-Que-Se-Da-Ne	Panis Et Circenses	1	0.05	100	19.84
Road Trippin'	Ali	1	0.05	100	19.84
Road Trippin'	Bullet With Butterfly Wings	1	0.05	100	19.84
Road Trippin'	Californication	1	0.05	100	19.84
Road Trippin'	Closer To The Heart	1	0.05	100	19.84
Road Trippin'	Funky Piano	1	0.05	100	19.84
Road Trippin'	My Mistake	1	0.05	100	19.84
Road Trippin'	Persuasion	1	0.05	100	19.84
Road Trippin'	Real Love	1	0.05	100	19.84
Rock & Roll	Carouselambra	1	0.05	50	9.92
Rock & Roll	Celebration Day	1	0.05	50	4.96
Rock & Roll	I'm Gonna Crawl	1	0.05	50	9.92
Rock & Roll	Night Flight	1	0.05	50	9.92
Rock 'N' Roll Music	Body Count Anthem	1	0.05	100	19.84
Rock 'N' Roll Music	Bowels Of The Devil	1	0.05	100	19.84
Rock 'N' Roll Music	Cornucopia	1	0.05	100	19.84
Rock 'N' Roll Music	Dandelion	1	0.05	100	19.84
Rock 'N' Roll Music	Esse Cara	1	0.05	100	19.84
Rock 'N' Roll Music	Evil Woman	1	0.05	100	19.84
Rock 'N' Roll Music	Heart Of Gold	1	0.05	100	19.84
Rock 'N' Roll Music	Jerusalem	1	0.05	100	19.84
Rock 'N' Roll Music	Meditação	1	0.05	100	19.84
Rock 'N' Roll Music	Moon germs	1	0.05	100	19.84
Rock And Roll All Nite	Charles Anjo 45	1	0.05	100	19.84
Rock And Roll All Nite	Fire	1	0.05	100	19.84
Rock And Roll All Nite	Highway Chile	1	0.05	100	19.84
Rock And Roll All Nite	Hot Rockin'	1	0.05	100	19.84
Rock And Roll All Nite	Lazy Gun	1	0.05	100	19.84
Rock And Roll All Nite	Midnight	1	0.05	100	19.84
Rock And Roll All Nite	Onibusfobia	1	0.05	100	19.84
Rock And Roll All Nite	Papelão	1	0.05	100	19.84
Rock And Roll All Nite	Ram It Down	1	0.05	100	19.84
Rock And Roll Is Dead	A Cura	1	0.05	100	19.84
Rock And Roll Is Dead	A Menina Dança	1	0.05	100	19.84
Rock And Roll Is Dead	Abraham, Martin And John	1	0.05	100	19.84
Rock And Roll Is Dead	Aloha	1	0.05	100	19.84
Rock And Roll Is Dead	Casa	1	0.05	100	19.84
Rock And Roll Is Dead	Cérebro Eletrônico	1	0.05	100	19.84
Rock And Roll Is Dead	Everything I Need	1	0.05	100	19.84
Rock And Roll Is Dead	Heart Of Lothian: Wide Boy / Curtain Call	1	0.05	100	19.84
Rock And Roll Is Dead	I Belong To You	1	0.05	100	19.84
Rock And Roll Is Dead	Pais E Filhos	1	0.05	100	19.84
Rock Das Aranhas (Ao Vivo) (Live)	By The Way	1	0.05	100	19.84
Rock Das Aranhas (Ao Vivo) (Live)	Can't Stop	1	0.05	100	19.84
Rock Das Aranhas (Ao Vivo) (Live)	I Could Have Lied	1	0.05	100	19.84
Rock Das Aranhas (Ao Vivo) (Live)	Naked In The Rain	1	0.05	100	19.84
Rock Das Aranhas (Ao Vivo) (Live)	O Dia Em Que A Terra Parou	1	0.05	100	19.84
Rock Das Aranhas (Ao Vivo) (Live)	On Mercury	1	0.05	100	19.84
Rock Das Aranhas (Ao Vivo) (Live)	Puteiro Em João Pessoa	1	0.05	100	19.84
Rock Of Ages	A Touch Away	1	0.05	100	19.84
Rock Of Ages	Hush	1	0.05	100	19.84
Rock Of Ages	I Need Love	1	0.05	100	19.84
Rock Of Ages	Into The Fire	1	0.05	100	19.84
Rock Of Ages	Love Conquers All	1	0.05	100	19.84
Rock Of Ages	No One Came	1	0.05	100	19.84
Rock Of Ages	Oceano	1	0.05	100	19.84
Rock Of Ages	Outbreak	1	0.05	100	19.84
Rock Of Ages	Ramshackle Man	1	0.05	100	19.84
Rock The Casbah	(White Man) In Hammersmith Palais	1	0.05	100	19.84
Rock The Casbah	Bankrobber	1	0.05	100	19.84
Rock The Casbah	Breathe	1	0.05	100	19.84
Rock The Casbah	Chaos-Control	1	0.05	100	19.84
Rock The Casbah	Cursed Diamonds	1	0.05	100	19.84
Rock The Casbah	Hard To Handle	1	0.05	100	19.84
Rock The Casbah	High Head Blues	1	0.05	100	19.84
Rocket Queen	Back off Bitch	1	0.05	100	19.84
Rocket Queen	Coma	1	0.05	100	19.84
Rocket Queen	Don't Cry (Original)	1	0.05	100	19.84
Rocket Queen	Garden of Eden	1	0.05	100	19.84
Rollover D.J.	Charles Anjo 45	1	0.05	100	19.84
Rollover D.J.	Fire	1	0.05	100	19.84
Rollover D.J.	Highway Chile	1	0.05	100	19.84
Rollover D.J.	Hot Rockin'	1	0.05	100	19.84
Rollover D.J.	Lazy Gun	1	0.05	100	19.84
Rollover D.J.	Midnight	1	0.05	100	19.84
Rollover D.J.	Onibusfobia	1	0.05	100	19.84
Rollover D.J.	Papelão	1	0.05	100	19.84
Rollover D.J.	Ram It Down	1	0.05	100	19.84
Rollover D.J.	Rock And Roll All Nite	1	0.05	100	19.84
Romaria	Casa no Campo	1	0.05	100	19.84
Romaria (Renato Teixeira)	Bad Moon Rising	1	0.05	100	19.84
Romaria (Renato Teixeira)	Coração do Agreste (Fafá de Belém)	1	0.05	100	19.84
Romaria (Renato Teixeira)	Down On The Corner	1	0.05	100	19.84
Romaria (Renato Teixeira)	Preciso Apender a Viver Só (Maysa)	1	0.05	100	19.84
Romeo et Juliette: No. 11 - Danse des Chevaliers	Concerto for Cello and Orchestra in E minor, Op. 85: I. Adagio - Moderato	1	0.05	100	19.84
Roxanne	As Tears Go By	1	0.05	100	19.84
Roxanne	Every Breath You Take	1	0.05	100	19.84
Roxanne	Lil' Evil	1	0.05	100	19.84
Roxanne	Love	1	0.05	100	19.84
Roxanne	Mean Disposition	1	0.05	100	19.84
Roxanne	Moon Is Up	1	0.05	100	19.84
Roxanne	Nico	1	0.05	100	19.84
Roxanne	Psychopomp	1	0.05	100	19.84
Roxanne	Release	1	0.05	100	9.92
Roxanne	Respectable	1	0.05	100	19.84
Run Silent Run Deep	01 - Prowler	1	0.05	100	19.84
Run Silent Run Deep	Afraid To Shoot Strangers	1	0.05	100	9.92
Run Silent Run Deep	Back in the Village	1	0.05	100	19.84
Run Silent Run Deep	Blood Brothers	1	0.05	100	9.92
Run Silent Run Deep	Drifter	1	0.05	100	9.92
Run Silent Run Deep	Fear Is The Key	1	0.05	100	19.84
Run Silent Run Deep	Phantom Of The Opera	1	0.05	100	19.84
Run Through The Jungle	Caçador de Mim (Sá & Guarabyra)	1	0.05	100	19.84
Run Through The Jungle	Eu Sou Neguinha (Ao Vivo)	1	0.05	100	19.84
Run Through The Jungle	Molina	1	0.05	100	19.84
Run To The Hills	04 - Running Free	1	0.05	50	9.92
Run To The Hills	2 Minutes To Midnight	1	0.05	50	3.31
Run To The Hills	Another Life	1	0.05	50	9.92
Run To The Hills	Dream Of Mirrors	1	0.05	50	4.96
Run To The Hills	Face In The Sand	1	0.05	50	9.92
Run To The Hills	Heaven Can Wait	1	0.05	50	3.31
Run To The Hills	Iron Maiden	1	0.05	50	3.31
Run To The Hills	Magnetic Ocean	1	0.05	50	9.92
Run To The Hills	Only the Good Die Young	1	0.05	50	9.92
Run To The Hilss	Blood Brothers	1	0.05	100	9.92
Run To The Hilss	Can I Play With Madness	1	0.05	100	9.92
Run To The Hilss	For the Greater Good of God	1	0.05	100	19.84
Run To The Hilss	Gates Of Tomorrow	1	0.05	100	19.84
Run To The Hilss	Heaven Can Wait	1	0.05	100	6.61
Run To The Hilss	Prowler	1	0.05	100	9.92
Run to the Hills	Invaders	1	0.05	100	19.84
Running Free	05 - Phantom of the Opera	1	0.05	100	19.84
Running Free	Aces High	1	0.05	100	19.84
Running Free	Age Of Innocence	1	0.05	100	19.84
Running Free	Chains Of Misery	1	0.05	100	19.84
Running Free	From Here To Eternity	1	0.05	100	19.84
Running Free	Genghis Khan	1	0.05	100	19.84
Running Free	Ghost Of The Navigator	1	0.05	100	9.92
Running Free	Heaven Can Wait	1	0.05	100	6.61
Running Free	Holy Smoke	1	0.05	100	19.84
Rusty Cage	Ali	1	0.05	100	19.84
Rusty Cage	Bullet With Butterfly Wings	1	0.05	100	19.84
Rusty Cage	Californication	1	0.05	100	19.84
Rusty Cage	Closer To The Heart	1	0.05	100	19.84
Rusty Cage	Funky Piano	1	0.05	100	19.84
Rusty Cage	My Mistake	1	0.05	100	19.84
Rusty Cage	Persuasion	1	0.05	100	19.84
Rusty Cage	Real Love	1	0.05	100	19.84
Rusty Cage	Road Trippin'	1	0.05	100	19.84
Réu Confesso	Compadre	1	0.05	100	19.84
S.O.S.	...And Found	1	0.05	100	19.84
S.O.S.	Adrift	1	0.05	100	19.84
S.O.S.	City Of Blinding Lights	1	0.05	100	19.84
S.O.S.	Exodus (Part 2) [Season Finale]	1	0.05	100	19.84
S.O.S.	Hallelujah Here She Comes	1	0.05	100	19.84
S.O.S.	Mofo	1	0.05	100	19.84
SKA	Romance Ideal	1	0.05	100	19.84
Sabbath, Bloody Sabbath	Fairies Wear Boots	1	0.05	100	19.84
Sabbath, Bloody Sabbath	Feel It	1	0.05	100	19.84
Sabbath, Bloody Sabbath	Guess Who's Back	1	0.05	100	19.84
Sabbath, Bloody Sabbath	Imagine	1	0.05	100	9.92
Sabbath, Bloody Sabbath	Loving You Sunday Morning	1	0.05	100	19.84
Saber Amar	Caleidoscópio	1	0.05	100	9.92
Saber Amar	O Amor Nao Sabe Esperar	1	0.05	100	19.84
Sad Statue	Lost in Hollywood	1	0.05	100	19.84
Sad Statue	Radio/Video	1	0.05	100	19.84
Safe and Sound	Call Me a Dog	1	0.05	100	19.84
Safe and Sound	Canon and Gigue in D Major: I. Canon	1	0.05	100	19.84
Safe and Sound	Chega no Suingue	1	0.05	100	19.84
Safe and Sound	Din Din Wo (Little Child)	1	0.05	100	19.84
Safe and Sound	Disappearing Act	1	0.05	100	19.84
Safe and Sound	Jupiter, the Bringer of Jollity	1	0.05	100	19.84
Safety Training	Battlestar Galactica, Pt. 1	1	0.05	100	19.84
Safety Training	Lost Planet of the Gods, Pt. 2	1	0.05	100	19.84
Saint Of Me	Babylon	1	0.05	100	19.84
Saint Of Me	Boris The Spider	1	0.05	100	19.84
Saint Of Me	De Do Do Do, De Da Da Da	1	0.05	100	19.84
Saint Of Me	I Looked At You	1	0.05	100	19.84
Saint Of Me	Let's See Action	1	0.05	100	19.84
Saint Of Me	Life Line	1	0.05	100	19.84
Saint Of Me	Love Removal Machine	1	0.05	100	19.84
Salutations	Armadura	1	0.05	100	19.84
Salutations	Billie Jean	1	0.05	100	19.84
Salutations	Commercial 2	1	0.05	100	19.84
Salutations	Die Walküre: The Ride of the Valkyries	1	0.05	100	19.84
Salutations	Four Walled World	1	0.05	100	19.84
Salutations	Instinto Colectivo	1	0.05	100	19.84
Salutations	Ji Yeon	1	0.05	100	19.84
Salutations	Love Comes	1	0.05	100	19.84
Salutations	Moth	1	0.05	100	19.84
Salutations	Past, Present, and Future	1	0.05	100	19.84
Salve Simpatia	All My Love	1	0.05	100	19.84
Salve Simpatia	Dance Enquanto é Tempo	1	0.05	100	19.84
Salve Simpatia	Dancing Days	1	0.05	100	19.84
Salve Simpatia	Dazed And Confused	1	0.05	100	9.92
Salve Simpatia	Enquanto O Dia Não Vem	1	0.05	100	19.84
Salve Simpatia	Every Time I Look At You	1	0.05	100	19.84
Salve Simpatia	Filho Maravilha	1	0.05	100	19.84
Salve Simpatia	Plaster Caster	1	0.05	100	9.92
Sam With The Showing Scalp Flat Top	Amor Demais	1	0.05	100	19.84
Sam With The Showing Scalp Flat Top	Gavioes 2001	1	0.05	100	19.84
Sam With The Showing Scalp Flat Top	It's A Hard Life	1	0.05	100	19.84
Sam With The Showing Scalp Flat Top	Maria Fumaça	1	0.05	100	19.84
Sam With The Showing Scalp Flat Top	Morro Da Casa Verde 2001	1	0.05	100	19.84
Sam With The Showing Scalp Flat Top	My Love	1	0.05	100	19.84
Sam With The Showing Scalp Flat Top	Na Frente Da TV	1	0.05	100	19.84
Sam With The Showing Scalp Flat Top	Only A Dream In Rio	1	0.05	100	19.84
Samba Da Volta	Canto De Ossanha	1	0.05	100	19.84
Samba De Orly	Construção / Deus Lhe Pague	1	0.05	100	19.84
Samba De Orly	Geni E O Zepelim	1	0.05	100	19.84
Samba De Orly	Minha Historia	1	0.05	100	19.84
Samba De Orly	O Que Será (À Flor Da Terra)	1	0.05	100	19.84
Samba Do Jato	A Benihana Christmas, Pts. 1 & 2	1	0.05	100	19.84
Samba Do Jato	Diversity Day	1	0.05	100	19.84
Samba Do Jato	Faixa Amarela	1	0.05	100	19.84
Samba Do Jato	Gay Witch Hunt	1	0.05	100	19.84
Samba Do Jato	Halloween	1	0.05	100	19.84
Samba Do Jato	Headspace	1	0.05	100	19.84
Samba Do Jato	Neworld	1	0.05	100	19.84
Samba Do Jato	Now You're Gone	1	0.05	100	19.84
Samba Do Jato	Primary	1	0.05	100	19.84
Samba Do Lado	Amor De Muito	1	0.05	100	19.84
Samba Do Lado	Etnia	1	0.05	100	19.84
Samba Do Lado	Maracatu Atômico [Trip Hop]	1	0.05	100	19.84
Samba Em Prelúdio	Chão de Giz (Elba Ramalho)	1	0.05	100	19.84
Samba Em Prelúdio	Jungle Drums	1	0.05	100	19.84
Samba Em Prelúdio	Por Que Será	1	0.05	100	19.84
Samba Em Prelúdio	Pot-Pourri N.º 4	1	0.05	100	19.84
Samba Em Prelúdio	Pot-Pourri N.º 5	1	0.05	100	19.84
Samba Makossa	A Cor Do Sol	1	0.05	100	19.84
Samba Makossa	Firmamento	2	0.1	200	19.84
Samba Makossa	Já Foi	1	0.05	100	9.92
Samba Makossa	Linha Do Equador	1	0.05	100	9.92
Samba Makossa	Livre Pra Viver	1	0.05	100	19.84
Samba Makossa	Lixo Do Mangue	1	0.05	100	19.84
Samba Pra Endrigo	Atomic Punk	1	0.05	100	19.84
Samba Pra Endrigo	Camarão que Dorme e Onda Leva	1	0.05	100	19.84
Samba Pra Endrigo	Coração Em Desalinho	1	0.05	100	19.84
Samba Pra Endrigo	Dirty Water Dog	1	0.05	100	19.84
Samba Pra Endrigo	Do It For The Kids	1	0.05	100	19.84
Samba Pra Endrigo	Email Surveillance	1	0.05	100	19.84
Samba Pra Endrigo	Hot Girl	1	0.05	100	19.84
Samba Pra Endrigo	Humans Being	1	0.05	100	19.84
Samba da Bençaco	Amor Demais	1	0.05	100	19.84
Samba da Bençaco	Gavioes 2001	1	0.05	100	19.84
Samba da Bençaco	It's A Hard Life	1	0.05	100	19.84
Samba da Bençaco	Maria Fumaça	1	0.05	100	19.84
Samba da Bençaco	Morro Da Casa Verde 2001	1	0.05	100	19.84
Samba da Bençaco	My Love	1	0.05	100	19.84
Samba da Bençaco	Na Frente Da TV	1	0.05	100	19.84
Samba da Bençaco	Only A Dream In Rio	1	0.05	100	19.84
Samba da Bençaco	Sam With The Showing Scalp Flat Top	1	0.05	100	19.84
Samba pras moças	A Bencao E Outros	1	0.05	100	19.84
Samba pras moças	Dreams	1	0.05	100	19.84
Samba pras moças	Fall To Pieces	1	0.05	100	19.84
Samba pras moças	Feirinha da Pavuna/Luz do Repente/Bagaço da Laranja	1	0.05	100	19.84
Samba pras moças	Higher Ground	1	0.05	100	19.84
Samba pras moças	Looking For Love	1	0.05	100	19.84
Samba pras moças	On Fire	1	0.05	100	19.84
Same Ol' Situation	A Moça e a Chuva	1	0.05	100	19.84
Same Ol' Situation	Beijo Partido	1	0.05	100	19.84
Same Ol' Situation	Blues For Pablo (Alternate Take)	1	0.05	100	19.84
Same Ol' Situation	Eye Of The Beholder	1	0.05	100	19.84
Same Ol' Situation	Invisible Kid	1	0.05	100	19.84
Same Ol' Situation	Jailbait	1	0.05	100	19.84
Same Ol' Situation	O Que Vai Em Meu Coração	1	0.05	100	19.84
Sampa	Parabolicamará	1	0.05	100	19.84
San Francisco Bay Blues	After Midnight	1	0.05	100	19.84
San Francisco Bay Blues	Be Aggressive	1	0.05	100	19.84
San Francisco Bay Blues	Get Out	1	0.05	100	19.84
San Francisco Bay Blues	Got That Feeling	1	0.05	100	19.84
Sanctuary	1/2 Full	1	0.05	33.33	6.61
Sanctuary	Any Colour You Like	1	0.05	33.33	6.61
Sanctuary	Black	1	0.05	33.33	6.61
Sanctuary	Cropduster	1	0.05	33.33	6.61
Sanctuary	Dissident	1	0.05	33.33	6.61
Sanctuary	Don't Look Back	1	0.05	33.33	6.61
Sanctuary	Hallowed Be Thy Name	1	0.05	33.33	2.2
Sanctuary	Most High	1	0.05	33.33	6.61
Sanctuary	Oceans	1	0.05	33.33	6.61
Sanctuary	Pick Myself Up	1	0.05	33.33	6.61
Sangue De Bairro	Amor De Muito	1	0.05	100	19.84
Sangue De Bairro	Etnia	1	0.05	100	19.84
Sangue De Bairro	Maracatu Atômico [Trip Hop]	1	0.05	100	19.84
Sangue De Bairro	Samba Do Lado	1	0.05	100	19.84
Sangue Latino	Dirty Love	1	0.05	100	19.84
Sangue Latino	Idolatrada	1	0.05	100	19.84
Sangue Latino	Kickstart My Heart	1	0.05	100	19.84
Sangue Latino	Live To Win	1	0.05	100	19.84
Sangue Latino	Paisagem Na Janela	1	0.05	100	19.84
Sangue Latino	Para Lennon E McCartney	1	0.05	100	19.84
Sangue Latino	Polly	2	0.1	200	19.84
Santa Clara Clareou	Always With Me, Always With You	1	0.05	100	19.84
Santa Clara Clareou	Cafezinho	1	0.05	100	19.84
Santa Clara Clareou	Comin' Home	1	0.05	100	9.92
Santa Clara Clareou	Deeper Underground	1	0.05	100	19.84
Santa Clara Clareou	Encontrar Alguém	1	0.05	100	19.84
Santa Clara Clareou	Hey Joe	1	0.05	100	19.84
Santa Clara Clareou	Journey To Arnhemland	1	0.05	100	19.84
Santa Clara Clareou	Mama Africa	1	0.05	100	19.84
Santa Clara Clareou	No Futuro	1	0.05	100	19.84
Santa Clara Clareou	Planet Home	1	0.05	100	19.84
Santa Clara Clareou	Radio Song	1	0.05	100	9.92
Santa Clara Clareou	Red House	1	0.05	100	19.84
Santana Jam	Around The World	1	0.05	100	19.84
Santana Jam	Drown	1	0.05	100	19.84
Santana Jam	Fly By Night	1	0.05	100	19.84
Santana Jam	For Your Babies	1	0.05	100	19.84
Santana Jam	Freewill	1	0.05	100	19.84
Santana Jam	I Could Die For You	1	0.05	100	19.84
Santana Jam	I Like Dirt	1	0.05	100	19.84
Santana Jam	Lucky 13	1	0.05	100	19.84
Santana Jam	Muçulmano	1	0.05	100	19.84
Santo Antonio	Momentos Que Marcam	1	0.05	100	19.84
Sapato 36	Anthem	1	0.05	100	19.84
Sapato 36	Fica	1	0.05	100	19.84
Sapato 36	Get On Top	1	0.05	100	19.84
Sapato 36	If You Don't Know Me By Now	1	0.05	100	19.84
Sapato 36	If You Have To Ask	1	0.05	100	19.84
Sapato 36	Just Ain't Good Enough	1	0.05	100	19.84
Sapato 36	La Puesta Del Sol	1	0.05	100	19.84
Sapato 36	Os Exilados	1	0.05	100	19.84
Sapopemba e Maxambomba	Christmas Party	1	0.05	100	19.84
Sapopemba e Maxambomba	Dirty Little Thing	1	0.05	100	19.84
Sapopemba e Maxambomba	Diwali	1	0.05	100	19.84
Sapopemba e Maxambomba	Here I Go Again	1	0.05	100	19.84
Sapopemba e Maxambomba	How to Stop an Exploding Man	1	0.05	100	19.84
Sapopemba e Maxambomba	Michael's Birthday	1	0.05	100	19.84
Sapopemba e Maxambomba	Phyllis's Wedding	1	0.05	100	19.84
Satch Boogie	All My Love	1	0.05	100	19.84
Satch Boogie	Dance Enquanto é Tempo	1	0.05	100	19.84
Satch Boogie	Dancing Days	1	0.05	100	19.84
Satch Boogie	Dazed And Confused	1	0.05	100	9.92
Satch Boogie	Enquanto O Dia Não Vem	1	0.05	100	19.84
Satch Boogie	Every Time I Look At You	1	0.05	100	19.84
Satch Boogie	Filho Maravilha	1	0.05	100	19.84
Satch Boogie	Plaster Caster	1	0.05	100	9.92
Satch Boogie	Salve Simpatia	1	0.05	100	19.84
Satisfação	Assim Caminha A Humanidade	1	0.05	100	19.84
Satisfação	Celebration Day	1	0.05	100	9.92
Satisfação	Childhoods End?	1	0.05	100	19.84
Satisfação	Giz	1	0.05	100	19.84
Satisfação	Leila	1	0.05	100	19.84
Satisfação	O Último Romântico (Ao Vivo)	1	0.05	100	19.84
Satisfação	Panis Et Circenses	1	0.05	100	19.84
Satisfação	Ro-Que-Se-Da-Ne	1	0.05	100	19.84
Saturnine	Aeroplane Flies High	1	0.05	100	19.84
Saturnine	Ava Adore	1	0.05	100	19.84
Saturnine	Cherub Rock	1	0.05	100	19.84
Saturnine	Evil Ways	1	0.05	100	19.84
Saturnine	Finding My Way	1	0.05	100	19.84
Saturnine	Garota Nacional	1	0.05	100	19.84
Saturnine	Hands All Over	1	0.05	100	19.84
Saturnine	It's Only Love	1	0.05	100	19.84
Saturnine	Leave My Girl Alone	1	0.05	100	9.92
Saturnine	Maquinarama	1	0.05	100	19.84
Saturnine	Pretty Noose	1	0.05	100	19.84
Saudade Dos Aviões Da Panair (Conversando No Bar)	Aos Leões	1	0.05	100	19.84
Saudade Dos Aviões Da Panair (Conversando No Bar)	Caso Você Queira Saber	1	0.05	100	19.84
Saudade Dos Aviões Da Panair (Conversando No Bar)	Dance	1	0.05	100	19.84
Saudade Dos Aviões Da Panair (Conversando No Bar)	Demorou!	1	0.05	100	19.84
Saudade Dos Aviões Da Panair (Conversando No Bar)	Home Sweet Home	1	0.05	100	19.84
Saudade Dos Aviões Da Panair (Conversando No Bar)	In Bloom	1	0.05	100	19.84
